Order ID,Product title,Orders,Total sales,Quantity ordered
7359091638515 ,Family Matching Floral Drawstring Swim Trunks or Ruched Shell Edge Bikini with Optional Swim Cover Up Red,1,10.27,1
7487749619955 ,Disney Lion King Family Matching Simba Palm Leaf Pattern Colorblock Dress/Top/Romper Dark Blue,1,44.21,1
7384807276787 ,Family Matching Sets Green Striped Polo Shirt or Flora Print Strap Belted Dress Light Green,1,21.01,1
7383241425139 ,Family Matching Leaf Print Short-sleeve Shirt or Halter Dress Green Set Green,1,11.93,1
7476326105331 ,Bamboo Baby Boy/Girl 1pc Allover Print  Bodysuits  Royal Blue,1,10.96,1
7440725737715 ,Disney Princess Moana Toddler Girl Naia??Character Floral Print Spaghetti Strap Romper Khaki,1,16.36,1
7523159703795 ,Disney Mickey and Friends Family Matching Stripe & Character Print Short-sleeve Naia??Dresses and T-shirts Sets COLOREDSTRIPES,1,12.41,1
7483546140915 ,Barbie Baby Girl 95% Cotton Allover Letter Print Bow Front Cami Romper PinkyWhite,1,19.6,1
7477396832499 ,Star Wars Daddy & Me Matching Family Mandalorian & Grogu Cotton Tee Orange red,1,12.75,1
7464326136051 ,Family Matching Outfits Set Solid Color Short-sleeve Polo Collar Shirt or Flower Print Hollow out Dress  Pink,1,21.27,1
7497928769779 ,"Family Matching Outfits Blue Floral Print Dress & Color Block Tee Set, Mommy Daddy and Me Summer Beach Vacation Coordinates Blue",1,13.26,1
7477648392435 ,Matching Floral Print Green Smocked Strap Jumpsuits for Mommy and Me Green,1,21.74,1
7361005289715 ,Family Matching Sets Plaid Long Sleeves Shirt or Elegant Shirred Bodice Puff Sleeves Tulle Mesh Dress royalblue,1,17.11,1
7469630882035 ,PAW Patrol Toddler Girl Skye Everest Gradient Ruffle-hem Dress Purple,1,19.4,1
7440825024755 ,Disney Frozen Toddler Girl 2pcs Cotton Elsa Pattern Tank Top And Bowknot Denim Shorts Set Blue,1,12.81,1
7362561638643 ,"Colorful Family Matching Outfits Sleeveless Strap Top and Skirt Co-ord Set & Shirt Sets Summer Vacation Clothe for Beach, Photoshoots, Travel Hot Pink",1,23.52,1
7498146218227 ,Peppa Pig Toddler Girl Summer Fruit/Grid/Stripe Pattern Dress Pink,1,12.94,1
7378682937587 ,Family Matching Letter Print Sleeveless Tank Top or Tank Dress Set Grey,1,5.4,1
7498622370035 ,PAW Patrol Mommy & me Casual Stripe Lapel Pajamas Sets with Flame Resistant Color block,1,24.16,1
7468907561203 ,Family Matching Floral Print Belted Cami Dresses And Solid Short Sleeve Tops Sets Black,1,25.91,1
7458977906931 ,Family Matching Trendy Purple & Blue Wave Print Swim Trunks or Midriff Cutout One-Piece Swimsuit Purple,1,11.87,1
7298628321523 ,Family Matching Pink Set Solid Colorblock Polo collar Short-sleeve Shirt or Ruffle-sleeve Belted Dress Pink,1,21.6,1
7282088149235 ,Disney Mickey and Friends Family matching 1pc Mickey Mouse Graffiti Cotton T-shirt or Colorblock Dress with Built-in Shorts & Pockets or Naia??Allover Romper Red,1,39.55,2
7427573842163 ,"Family Matching Pink Outfits Flower Print Smocked Tie-Back Cotton Dress for Mom & Daughter, Solid Shirts for Dad & Son, Perfect for Summer Family Outings & Photos Mauve Pink",1,0,1
7496907260147 ,2-Pack Toddler/Kid Girl Printed & Solid Causal Dress Pink,1,14.3,1
7360957350131 ,Family Matching Polo Collar Short-sleeve Shirt or V-neck Strappy Mesh Dress  Green,1,27.58,1
7434700456179 ,"Family Matching Casual Dress or T-Shirt, Solid Color, Fabric Stitching royalblue",1,20.29,1
7298583625971 ,Matching Floral Print Green Smocked Strap Jumpsuits for Mommy and Me Green,1,21.4,1
7383009132787 ,Matching Family Hawaiian Outfits Tropical Floral Print Strap Dress or Short-sleeve Shirts & Shorts Set Summer Beachwear Set for Vacation Deep Blue,1,19.27,1
7503214739699 ,Family Matching Outfit: Floral Smocking Casual Suit BLUEWHITE,1,13.47,1
7445292122355 ,Family Matching Leopard Pattern Drawstring Swim Trunks or Ruffle Neck Two-Piece Bikini with Optional Cover Up Sarong Skirt Black,1,16.36,1
7364707614963 ,Family Matching Outfit: Floral Smocking Casual Suit BLUEWHITE,1,28.41,1
7491319365875 ,"Family Matching Color Block Swimsuits, Mommy and Me One-Shoulder Cutout Bikini Set, Daddy and Son Color Block Swim Trunks, Summer Beach Vacation Swimwear Coffee",1,18.01,1
7382994649331 ,Disney Stitch Matching Family Tropical Floral Jumpsuit/ Dress/ Shirt Light Blue,1,30.56,1
7523260563699 ,"Family Matching Soft Casual Outfit with Below Knee Dresses, Front Buttons, Belted Design Blue",1,23.36,1
7294404428019 ,PAW Patrol Toddler Girl Skye 1pc Character Print Vest Pink,1,18.36,1
7472066855155 ,Daddy and Me Family Matching Sets Floral Panel Short-sleeve T-shirts or All Over Floral Print V Neck Spaghetti Strap Midi Dresses with Hidden Snap royalblue,1,12.2,1
7410995134707 ,Disney Princess Toddler Girl 2pcs Naia??Ariel Print Ruffled Top with Stripped Leggings Set BlueGreen,1,26.21,1
7351332831475 ,Funny Disney Mickey and Friends Sibling Set Boy/Girl Minnie/Mickey Character Stripped Swimsuit Dark Blue,1,19.85,1
7296465502451 ,Matching Floral Print Green Smocked Strap Jumpsuits for Mommy and Me Green,1,20.93,1
7385004114163 ,Family Matching Floral Print Beach Wear Short-sleeve Shirt or Camisole top and Wide-Leg Pants Set for Summer Vacation Family Looks Black+White,1,18.74,1
